start_id,end_id,type
pluskwa,objawy,POWODUJE
pluskwa,miejsca,WYSTĘPUJE_W
pluskwa,srodki,ZWALCZANA_PRZEZ
pluskwa,zachowania,MA_CYKL
pluskwa,mity,BUDZI
srodki,zabezpieczenia,WYMAGA
